City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kolonia,50.9333,6.95,282.11,88,0,1.03,DE,1728674792
1,utrik,11.2278,169.8474,300.83,80,100,8.63,MH,1728674996
2,college,64.8569,-147.8028,276.43,82,20,1.54,US,1728674998
3,ribeira grande,38.5167,-28.7,292.37,59,40,4.63,PT,1728674999
4,lautoka,-17.6167,177.4667,297.07,83,75,0.0,FJ,1728675002
5,oroqen zizhiqi,50.5667,123.7167,273.67,55,2,3.29,CN,1728675004
6,ust-tsilma,65.441,52.1498,271.52,71,100,5.46,RU,1728675005
7,ust-nera,64.5667,143.2,263.76,96,75,2.48,RU,1728675006
8,san luis de la loma,17.2706,-100.8939,301.74,74,36,2.69,MX,1728675008
9,adamstown,-25.066,-130.1015,294.51,87,66,5.7,PN,1728675010
10,fort mcmurray,56.7268,-111.381,282.92,53,75,3.09,CA,1728675011
11,atafu village,-8.5421,-172.5159,301.53,75,7,7.63,TK,1728674775
12,port saint john's,-31.6229,29.5448,291.25,87,20,1.22,ZA,1728675014
13,salinopolis,-0.6136,-47.3561,301.51,73,32,7.74,BR,1728674791
14,wailua homesteads,22.0669,-159.378,299.59,94,40,3.09,US,1728675018
15,puerto natales,-51.7236,-72.4875,284.4,54,75,7.2,CL,1728675019
16,isafjordur,66.0755,-23.124,270.46,75,75,3.3,IS,1728675021
17,tura,25.5198,90.2201,294.93,89,5,1.56,IN,1728675022
18,enewetak,11.3474,162.3373,302.06,74,33,5.33,MH,1728675024
19,kununurra,-15.7667,128.7333,296.14,78,31,1.54,AU,1728675025
20,kabansk,52.0486,106.6528,272.97,69,95,1.99,RU,1728675027
21,sidi ifni,29.3797,-10.173,294.42,85,0,1.96,MA,1728675028
22,nivala,63.9167,24.9667,279.24,87,100,2.47,FI,1728675029
23,whitehorse,60.7161,-135.0538,277.09,66,20,4.63,CA,1728675031
24,guajara mirim,-10.7828,-65.3394,307.24,43,75,4.12,BR,1728674831
25,severomorsk,69.0689,33.4162,281.25,91,100,7.44,RU,1728675034
26,pader palwo,2.8006,33.135,294.31,71,53,1.47,UG,1728675035
27,keflavik,64.0049,-22.5624,273.39,59,75,3.6,IS,1728675036
28,grytviken,-54.2811,-36.5092,274.18,82,48,3.67,GS,1728675037
29,portland,45.5234,-122.6762,290.34,61,100,2.57,US,1728674959
30,naze,28.3667,129.4833,294.66,76,65,3.4,JP,1728675040
31,lata,40.1629,-8.3327,292.87,47,100,2.33,PT,1728675041
32,porto novo,6.4965,2.6036,300.05,84,13,3.28,BJ,1728675042
33,margate,51.3813,1.3862,280.2,79,25,4.06,GB,1728675044
34,den helder,52.9599,4.7593,280.35,76,75,2.57,NL,1728675045
35,nagqu,31.5,92.0,273.95,34,100,1.61,CN,1728675046
36,vilyuysk,63.7553,121.6247,264.79,99,96,1.7,RU,1728675047
37,port alfred,-33.5906,26.891,287.69,94,100,2.92,ZA,1728675049
38,bilibino,68.0546,166.4372,254.83,97,70,1.41,RU,1728675050
39,papatowai,-46.5619,169.4708,284.46,60,5,3.19,NZ,1728675051
40,ushuaia,-54.8,-68.3,280.96,66,20,6.17,AR,1728675053
41,greenville,35.6127,-77.3663,294.33,45,0,2.06,US,1728675003
42,nemuro,43.3236,145.575,283.12,72,0,4.76,JP,1728675055
43,codrington,-38.2667,141.9667,280.37,84,3,2.74,AU,1728675056
44,tucuma,-0.1833,-50.05,303.29,64,100,6.02,BR,1728675058
45,aasiaat,68.7098,-52.8699,269.45,70,2,5.5,GL,1728675059
46,tazacorte,28.629,-17.9293,296.69,91,20,2.57,ES,1728675061
47,bethel,41.3712,-73.414,293.83,42,0,3.09,US,1728675062
48,badger,64.8,-147.5333,274.25,88,0,1.54,US,1728675063
49,hadibu,12.65,54.0333,299.36,75,67,1.82,YE,1728675065
50,jakobstad,63.6749,22.7026,278.17,68,68,5.01,FI,1728675066
51,afaahiti,-17.75,-149.2833,296.75,83,77,5.42,PF,1728675067
52,tual,-5.6667,132.75,301.09,80,100,6.38,ID,1728675069
53,mount gambier,-37.8333,140.7667,278.97,91,100,2.12,AU,1728675071
54,klyuchi,52.2667,79.1667,275.26,86,100,9.95,RU,1728675072
55,creel,27.75,-107.6333,295.25,25,36,4.36,MX,1728675073
56,yung shue wan,22.2333,114.1167,299.83,75,98,8.48,HK,1728675075
57,princeville,45.7668,-61.2985,283.45,80,100,6.69,CA,1728675076
58,richards bay,-28.783,32.0377,294.39,83,96,4.75,ZA,1728675077
59,leava,-14.3,-178.1667,300.04,81,31,3.68,WF,1728675079
60,port-aux-francais,-49.35,70.2167,273.41,78,81,21.86,TF,1728675080
61,kuching,1.55,110.3333,299.27,94,20,1.54,MY,1728675083
62,edinburgh of the seven seas,-37.0676,-12.3116,283.02,65,100,14.75,SH,1728675084
63,bardai,11.65,7.2333,301.18,43,76,2.26,NG,1728675086
64,izobil'nyy,45.3709,41.7084,287.48,63,12,3.46,RU,1728675089
65,stanley,54.868,-1.6985,279.55,79,0,1.54,GB,1728675008
66,chibougamau,49.9168,-74.3659,283.94,71,100,4.12,CA,1728675091
67,machico,32.7,-16.7667,298.5,76,40,7.2,PT,1728675093
68,kitimat,54.0524,-128.6534,283.66,53,97,0.89,CA,1728675094
69,vorgashor,67.5833,63.95,264.76,86,100,3.23,RU,1728675096
70,kiffa,16.6166,-11.4045,309.04,27,100,1.49,MR,1728675097
71,yangon,16.8053,96.1561,300.13,94,40,1.03,MM,1728675099
72,vuktyl,63.8567,57.3094,271.6,61,61,3.79,RU,1728675101
73,saipan,15.1355,145.701,300.54,83,0,2.06,MP,1728675104
74,waitangi,-43.9535,-176.5597,283.05,82,100,4.92,NZ,1728675106
75,cartagena,10.3997,-75.5144,299.94,94,40,1.54,CO,1728675107
76,shiqian,27.5225,108.2281,289.62,91,87,0.79,CN,1728675109
77,anadyr,64.75,177.4833,263.43,85,40,4.0,RU,1728675110
78,aripuana,-9.1667,-60.6333,312.45,22,91,1.59,BR,1728675112
79,san pedro de macoris,18.4616,-69.2972,303.44,68,4,2.95,DO,1728675113
80,okha,53.5739,142.9478,280.82,82,100,7.68,RU,1728675114
81,port mathurin,-19.6833,63.4167,295.21,74,100,11.73,MU,1728675116
82,hermanus,-34.4187,19.2345,285.82,85,13,1.64,ZA,1728675117
83,bure,10.7,37.0667,287.3,94,100,1.32,ET,1728675118
84,filadelfia,39.9523,-75.1638,294.85,39,20,5.66,US,1728675062
85,invercargill,-46.4,168.35,284.27,68,34,2.24,NZ,1728675122
86,nushki,29.5542,66.0215,295.29,15,0,1.33,PK,1728675123
87,kapuskasing,49.4169,-82.4331,285.15,100,100,9.77,CA,1728675125
88,ancud,-41.8697,-73.8203,282.88,76,87,6.46,CL,1728675126
89,borinskoye,52.4569,39.3713,283.89,74,3,4.65,RU,1728675127
90,hithadhoo,-0.6,73.0833,301.45,74,91,5.89,MV,1728675129
91,saint-philippe,-21.3585,55.7679,293.51,80,90,6.25,RE,1728675130
92,kievka,50.2619,71.5514,282.04,82,100,3.64,KZ,1728675132
93,blackmans bay,-43.0167,147.3167,281.22,75,7,0.45,AU,1728675133
94,punta arenas,-53.15,-70.9167,284.21,54,75,8.75,CL,1728674867
95,urangan,-25.3,152.9,291.87,78,9,2.87,AU,1728675136
96,natal,-5.795,-35.2094,301.51,65,40,9.26,BR,1728675091
97,georgetown,5.4112,100.3354,300.11,88,20,2.06,MY,1728675138
98,iqaluit,63.7506,-68.5145,275.0,93,75,2.06,CA,1728675140
99,karratha,-20.7377,116.8463,298.61,67,27,3.24,AU,1728675141
100,puerto ayora,-0.7393,-90.3518,295.12,85,64,3.13,EC,1728675142
101,constantia,44.1833,28.65,292.53,77,100,2.32,RO,1728675144
102,thompson,55.7435,-97.8558,283.24,50,20,2.57,CA,1728675145
103,tofol,5.3248,163.0078,301.86,74,60,5.19,FM,1728675147
104,margaret river,-33.95,115.0667,286.37,87,75,4.12,AU,1728675148
105,bubaque,11.2833,-15.8333,300.4,77,100,2.61,GW,1728675150
106,polewali,-3.4324,119.3435,298.04,89,93,1.6,ID,1728675151
107,longyearbyen,78.2186,15.6401,277.06,75,75,14.4,SJ,1728674656
108,masterton,-40.9597,175.6575,282.89,72,3,0.68,NZ,1728675155
109,namibe,-15.1961,12.1522,293.43,84,22,1.9,AO,1728675156
110,lompoc,34.6391,-120.4579,295.89,84,100,3.09,US,1728675157
111,port blair,11.6667,92.75,299.17,89,40,1.03,IN,1728675158
112,nar'yan-mar,67.6713,53.087,272.73,56,100,11.51,RU,1728675160
113,susuman,62.7833,148.1667,264.73,97,94,0.35,RU,1728675162
114,hamilton,39.1834,-84.5333,297.7,41,0,2.06,US,1728674941
115,surami,42.0243,43.5556,285.84,89,9,1.59,GE,1728675165
116,quellon,-43.1167,-73.6167,283.34,75,84,6.14,CL,1728675166
117,olonkinbyen,70.9221,-8.7187,270.89,90,100,16.74,SJ,1728675167
118,ola,59.5833,151.2833,274.04,76,100,2.69,RU,1728675169
119,albany,42.6001,-73.9662,291.84,48,0,0.45,US,1728675113
120,gazojak,41.1875,61.4036,287.62,53,74,2.73,TM,1728675172
121,reguiba,33.5639,6.7033,302.18,42,0,2.57,DZ,1728675173
122,igarka,67.4667,86.5833,263.42,92,100,3.52,RU,1728675175
123,mutuali,-14.8706,37.0044,297.82,52,88,3.9,MZ,1728675176
124,kaa-khem,51.6833,94.7333,280.01,69,98,1.45,RU,1728675177
125,hammerfest,70.6634,23.6821,278.4,81,75,5.66,NO,1728675179
126,bredasdorp,-34.5322,20.0403,286.4,89,90,0.88,ZA,1728675180
127,as sulayyil,20.4607,45.5779,301.41,20,1,2.84,SA,1728675182
128,tazovsky,67.4667,78.7,270.02,91,100,3.17,RU,1728675183
129,necochea,-38.5473,-58.7368,286.33,69,0,7.33,AR,1728675002
130,manuguru,17.981,80.7547,297.01,95,79,0.43,IN,1728675186
131,mugia,43.1041,-9.2179,293.1,92,90,13.68,ES,1728675188
132,conde,-7.2597,-34.9075,300.85,61,40,6.17,BR,1728675171
133,emerald,-23.5333,148.1667,289.45,86,8,2.88,AU,1728675190
134,arraial do cabo,-22.9661,-42.0278,298.07,83,75,9.77,BR,1728675052
135,suihua,46.6406,126.9969,277.43,54,3,3.19,CN,1728675193
136,east ballina,-28.8667,153.5833,288.96,84,8,1.86,AU,1728675195
